metric: gmean, units: ms
+------------------------------------------+---------+-------------+---------------------+
| name of test                             |  AVX2   | AVX512_SKX  | AVX512_SKX vs AVX2  |
+------------------------------------------+---------+-------------+---------------------+
| add::256    B::1 B::1 -> B::1            | 0.0000  |   0.0000    |        0.85         |
| add::4096   B::1 B::1 -> B::1            | 0.0001  |   0.0001    |        1.11         |
| add::16384  B::1 B::1 -> B::1            | 0.0007  |   0.0006    |        1.23         |
| add::256    H::1 H::1 -> H::1            | 0.0000  |   0.0000    |        0.96         |
| add::4096   H::1 H::1 -> H::1            | 0.0003  |   0.0002    |        1.36         |
| add::16384  H::1 H::1 -> H::1            | 0.0014  |   0.0011    |        1.27         |
| add::256    I::1 I::1 -> I::1            | 0.0000  |   0.0000    |         1.9         |
| add::4096   I::1 I::1 -> I::1            | 0.0007  |   0.0006    |        1.26         |
| add::16384  I::1 I::1 -> I::1            | 0.0028  |   0.0022    |        1.27         |
| add::256    L::1 L::1 -> L::1            | 0.0001  |   0.0000    |        1.89         |
| add::4096   L::1 L::1 -> L::1            | 0.0014  |   0.0011    |        1.28         |
| add::16384  L::1 L::1 -> L::1            | 0.0062  |   0.0044    |        1.42         |
| add::256    Q::1 Q::1 -> Q::1            | 0.0001  |   0.0000    |        1.82         |
| add::4096   Q::1 Q::1 -> Q::1            | 0.0013  |   0.0010    |        1.25         |
| add::16384  Q::1 Q::1 -> Q::1            | 0.0056  |   0.0044    |        1.28         |
| add::256    b::1 b::1 -> b::1            | 0.0000  |   0.0000    |        0.73         |
| add::4096   b::1 b::1 -> b::1            | 0.0002  |   0.0001    |        1.32         |
| add::16384  b::1 b::1 -> b::1            | 0.0007  |   0.0006    |        1.24         |
| add::256    h::1 h::1 -> h::1            | 0.0000  |   0.0000    |        1.32         |
| add::4096   h::1 h::1 -> h::1            | 0.0003  |   0.0002    |        1.38         |
| add::16384  h::1 h::1 -> h::1            | 0.0014  |   0.0011    |        1.27         |
| add::256    i::1 i::1 -> i::1            | 0.0000  |   0.0000    |        1.58         |
| add::4096   i::1 i::1 -> i::1            | 0.0007  |   0.0006    |        1.26         |
| add::16384  i::1 i::1 -> i::1            | 0.0024  |   0.0022    |        1.09         |
| add::256    l::1 l::1 -> l::1            | 0.0001  |   0.0000    |        1.67         |
| add::4096   l::1 l::1 -> l::1            | 0.0014  |   0.0011    |        1.28         |
| add::16384  l::1 l::1 -> l::1            | 0.0056  |   0.0046    |        1.21         |
| add::256    q::1 q::1 -> q::1            | 0.0001  |   0.0000    |         1.7         |
| add::4096   q::1 q::1 -> q::1            | 0.0014  |   0.0011    |        1.27         |
| add::16384  q::1 q::1 -> q::1            | 0.0056  |   0.0046    |        1.21         |
| bitwise_and::256    B::1 B::1 -> B::1    | 0.0000  |   0.0000    |        0.83         |
| bitwise_and::4096   B::1 B::1 -> B::1    | 0.0001  |   0.0001    |        1.08         |
| bitwise_and::16384  B::1 B::1 -> B::1    | 0.0007  |   0.0006    |        1.22         |
| bitwise_and::256    H::1 H::1 -> H::1    | 0.0000  |   0.0000    |        1.06         |
| bitwise_and::4096   H::1 H::1 -> H::1    | 0.0003  |   0.0002    |        1.38         |
| bitwise_and::16384  H::1 H::1 -> H::1    | 0.0014  |   0.0011    |        1.26         |
| bitwise_and::256    I::1 I::1 -> I::1    | 0.0000  |   0.0000    |        1.63         |
| bitwise_and::4096   I::1 I::1 -> I::1    | 0.0007  |   0.0006    |        1.26         |
| bitwise_and::16384  I::1 I::1 -> I::1    | 0.0028  |   0.0022    |        1.28         |
| bitwise_and::256    L::1 L::1 -> L::1    | 0.0001  |   0.0000    |        1.58         |
| bitwise_and::4096   L::1 L::1 -> L::1    | 0.0014  |   0.0011    |        1.27         |
| bitwise_and::16384  L::1 L::1 -> L::1    | 0.0062  |   0.0044    |        1.41         |
| bitwise_and::256    Q::1 Q::1 -> Q::1    | 0.0001  |   0.0000    |        1.51         |
| bitwise_and::4096   Q::1 Q::1 -> Q::1    | 0.0013  |   0.0010    |        1.25         |
| bitwise_and::16384  Q::1 Q::1 -> Q::1    | 0.0056  |   0.0044    |        1.27         |
| bitwise_and::256    b::1 b::1 -> b::1    | 0.0000  |   0.0000    |        0.75         |
| bitwise_and::4096   b::1 b::1 -> b::1    | 0.0002  |   0.0001    |        1.31         |
| bitwise_and::16384  b::1 b::1 -> b::1    | 0.0007  |   0.0006    |        1.24         |
| bitwise_and::256    h::1 h::1 -> h::1    | 0.0000  |   0.0000    |         1.3         |
| bitwise_and::4096   h::1 h::1 -> h::1    | 0.0003  |   0.0002    |        1.41         |
| bitwise_and::16384  h::1 h::1 -> h::1    | 0.0014  |   0.0011    |        1.28         |
| bitwise_and::256    i::1 i::1 -> i::1    | 0.0000  |   0.0000    |        1.91         |
