metric: gmean, units: ms
+------------------------------------------+-----------+-------------+---------+-------------------------+-------------------+
| name of test                             | BASELINE  | AVX512_SKX  |  AVX2   | AVX512_SKX vs BASELINE  | AVX2 vs BASELINE  |
+------------------------------------------+-----------+-------------+---------+-------------------------+-------------------+
| add::256    B::1 B::1 -> B::1            |  0.0000   |   0.0000    | 0.0000  |           0.5           |       0.59        |
| add::4096   B::1 B::1 -> B::1            |  0.0002   |   0.0001    | 0.0002  |          1.34           |       1.07        |
| add::16384  B::1 B::1 -> B::1            |  0.0009   |   0.0006    | 0.0007  |          1.54           |       1.28        |
| add::256    H::1 H::1 -> H::1            |  0.0000   |   0.0000    | 0.0000  |          0.87           |       1.17        |
| add::4096   H::1 H::1 -> H::1            |  0.0003   |   0.0002    | 0.0003  |          1.64           |       1.17        |
| add::16384  H::1 H::1 -> H::1            |  0.0018   |   0.0011    | 0.0014  |          1.62           |       1.28        |
| add::256    I::1 I::1 -> I::1            |  0.0000   |   0.0000    | 0.0000  |          1.81           |       0.95        |
| add::4096   I::1 I::1 -> I::1            |  0.0009   |   0.0006    | 0.0007  |          1.61           |       1.28        |
| add::16384  I::1 I::1 -> I::1            |  0.0036   |   0.0022    | 0.0028  |          1.63           |       1.28        |
| add::256    L::1 L::1 -> L::1            |  0.0001   |   0.0000    | 0.0001  |          2.52           |       1.33        |
| add::4096   L::1 L::1 -> L::1            |  0.0018   |   0.0011    | 0.0014  |          1.64           |       1.28        |
| add::16384  L::1 L::1 -> L::1            |  0.0071   |   0.0044    | 0.0062  |          1.64           |       1.15        |
| add::256    Q::1 Q::1 -> Q::1            |  0.0001   |   0.0000    | 0.0001  |          2.42           |       1.32        |
| add::4096   Q::1 Q::1 -> Q::1            |  0.0013   |   0.0010    | 0.0013  |          1.31           |       1.05        |
| add::16384  Q::1 Q::1 -> Q::1            |  0.0093   |   0.0044    | 0.0056  |          2.12           |       1.66        |
| add::256    b::1 b::1 -> b::1            |  0.0000   |   0.0000    | 0.0000  |          0.43           |       0.58        |
| add::4096   b::1 b::1 -> b::1            |  0.0002   |   0.0001    | 0.0001  |          1.41           |       1.12        |
| add::16384  b::1 b::1 -> b::1            |  0.0008   |   0.0006    | 0.0007  |          1.46           |       1.18        |
| add::256    h::1 h::1 -> h::1            |  0.0000   |   0.0000    | 0.0000  |          1.34           |       0.77        |
| add::4096   h::1 h::1 -> h::1            |  0.0003   |   0.0002    | 0.0002  |          1.71           |       1.28        |
| add::16384  h::1 h::1 -> h::1            |  0.0018   |   0.0011    | 0.0014  |          1.62           |       1.28        |
| add::256    i::1 i::1 -> i::1            |  0.0000   |   0.0000    | 0.0000  |          1.55           |       0.98        |
| add::4096   i::1 i::1 -> i::1            |  0.0009   |   0.0006    | 0.0007  |          1.61           |       1.28        |
| add::16384  i::1 i::1 -> i::1            |  0.0034   |   0.0022    | 0.0024  |          1.57           |       1.44        |
| add::256    l::1 l::1 -> l::1            |  0.0001   |   0.0000    | 0.0001  |          1.91           |       1.15        |
| add::4096   l::1 l::1 -> l::1            |  0.0018   |   0.0011    | 0.0014  |          1.63           |       1.28        |
| add::16384  l::1 l::1 -> l::1            |  0.0071   |   0.0046    | 0.0056  |          1.55           |       1.28        |
| add::256    q::1 q::1 -> q::1            |  0.0001   |   0.0000    | 0.0001  |          1.96           |       1.15        |
| add::4096   q::1 q::1 -> q::1            |  0.0018   |   0.0011    | 0.0014  |          1.63           |       1.28        |
| add::16384  q::1 q::1 -> q::1            |  0.0071   |   0.0046    | 0.0056  |          1.54           |       1.28        |
| bitwise_and::256    B::1 B::1 -> B::1    |  0.0000   |   0.0000    | 0.0000  |           0.4           |        0.5        |
| bitwise_and::4096   B::1 B::1 -> B::1    |  0.0002   |   0.0001    | 0.0002  |          1.28           |       1.05        |
| bitwise_and::16384  B::1 B::1 -> B::1    |  0.0009   |   0.0006    | 0.0007  |          1.53           |       1.28        |
| bitwise_and::256    H::1 H::1 -> H::1    |  0.0000   |   0.0000    | 0.0000  |          0.81           |       1.02        |
| bitwise_and::4096   H::1 H::1 -> H::1    |  0.0003   |   0.0002    | 0.0003  |          1.65           |       1.16        |
| bitwise_and::16384  H::1 H::1 -> H::1    |  0.0018   |   0.0011    | 0.0014  |          1.61           |       1.29        |
| bitwise_and::256    I::1 I::1 -> I::1    |  0.0000   |   0.0000    | 0.0000  |          1.55           |       0.97        |
| bitwise_and::4096   I::1 I::1 -> I::1    |  0.0009   |   0.0006    | 0.0007  |          1.61           |       1.28        |
| bitwise_and::16384  I::1 I::1 -> I::1    |  0.0036   |   0.0022    | 0.0028  |          1.64           |       1.28        |
| bitwise_and::256    L::1 L::1 -> L::1    |  0.0001   |   0.0000    | 0.0001  |          1.95           |       1.24        |
| bitwise_and::4096   L::1 L::1 -> L::1    |  0.0018   |   0.0011    | 0.0014  |          1.63           |       1.28        |
| bitwise_and::16384  L::1 L::1 -> L::1    |  0.0071   |   0.0044    | 0.0062  |          1.63           |       1.16        |
